domain_name,Carleton_response_addresses,Google_response_addresses,TTL_Carleton,TTL_Google
geller-pa.googleapis.com.,142.250.190.138 172.217.4.42 142.250.190.106 142.250.190.42 142.250.190.10 142.250.191.138 142.251.32.10 142.250.191.106 142.250.191.202 172.217.1.106 142.250.190.74 142.250.191.170 142.250.191.234 172.217.2.42 142.251.34.234,142.250.190.106 142.251.32.10 172.217.5.10 142.250.191.106 142.250.190.42 142.250.190.74 142.250.191.234 142.251.34.234 172.217.4.42 142.250.190.138 172.217.4.202 142.250.190.10 172.217.2.42 172.217.4.74 142.250.191.170 142.250.191.138,216,300
zscalertwo.net.,,,-1,-1
qq.com.,203.205.254.157 123.150.76.218 113.108.81.189,123.150.76.218 203.205.254.157 113.108.81.189,454,598
aa-rt.sharepoint.com.,,,-1,-1
people-pa.googleapis.com.,142.250.190.106 172.217.1.106 142.250.191.234 142.250.191.138 172.217.4.74 142.251.34.234 142.250.190.74 142.250.191.106 142.251.32.10 142.250.190.10 142.250.191.202 172.217.4.42 142.250.190.42 142.250.190.138 172.217.2.42 142.250.191.170,142.250.191.170 142.250.190.106 172.217.2.42 142.250.190.138 142.251.34.234 172.217.4.74 142.250.190.74 142.250.190.10 142.250.191.106 172.217.4.42 142.251.32.10 142.250.191.234 142.250.191.202 142.250.190.42 142.250.191.138,245,300
whatsapp.com.,157.240.26.54,157.240.26.54,8,60
app-analytics-services.com.,142.250.191.206,142.251.34.238,271,300
android.com.,172.217.4.196,142.250.190.100,154,300
cdn-apple.com.,,,-1,-1
sentry.io.,35.186.247.156,35.186.247.156,2430,1114
playstoregatewayadapter-pa.googleapis.com.,142.250.191.106 142.250.191.202 142.250.190.106 142.250.191.138 142.250.191.170 142.250.190.10 142.251.32.10 172.217.4.74 142.250.190.42 142.251.34.234 142.250.191.234 142.250.190.74 172.217.1.106 172.217.4.42 172.217.5.10 142.250.190.138,142.250.191.202 142.250.191.234 142.250.190.10 142.250.190.138 142.251.32.10 142.251.34.234 172.217.2.42 142.250.190.106 142.250.191.170 142.250.191.106 142.250.191.138 142.250.190.74 172.217.5.10 142.250.190.42 172.217.1.106,173,300
yahoo.com.,74.6.231.20 74.6.143.26 98.137.11.164 98.137.11.163 74.6.231.21 74.6.143.25,74.6.143.25 74.6.143.26 74.6.231.21 74.6.231.20 98.137.11.164 98.137.11.163,134,569
live.com.,204.79.197.212,204.79.197.212,173,1017
discover-pa.googleapis.com.,142.251.32.10 172.217.1.106 142.250.191.138 142.250.191.234 172.217.2.42 142.250.190.106 142.250.190.74 142.251.34.234 172.217.5.10 172.217.4.74 142.250.190.10 142.250.191.106 142.250.190.138 142.250.191.170 172.217.4.42 142.250.190.42,172.217.1.106 172.217.4.202 172.217.4.74 142.250.190.106 142.250.191.170 142.250.190.74 172.217.2.42 142.250.191.106 142.251.34.234 142.250.190.42 142.250.190.138 142.250.191.138 142.250.190.10 142.251.32.10 172.217.4.42 142.250.191.234,14,300
cloudsink.net.,,,-1,-1
spot-pa.googleapis.com.,172.217.1.106 142.250.190.42 142.250.191.234 142.250.190.74 172.217.4.74 142.251.32.10 142.250.190.10 142.250.190.138 142.250.191.138 142.251.34.234 172.217.2.42 142.250.191.202 142.250.191.170 142.250.190.106 172.217.4.42 142.250.191.106,172.217.1.106 142.250.190.10 172.217.4.202 142.251.32.10 172.217.5.10 142.250.191.138 142.250.190.106 142.250.190.74 142.250.191.234 142.250.190.138 172.217.2.42 142.250.191.106 142.250.191.170 172.217.4.42 142.250.191.202 142.250.190.42,155,300
pki.goog.,216.239.32.29,216.239.32.29,155,43
scorecardresearch.com.,165.193.78.252,165.193.78.252,3455,2804
taskassist-pa.googleapis.com.,172.217.4.42 142.251.32.10 142.250.191.202 172.217.5.10 142.251.34.234 172.217.1.106 142.250.191.234 142.250.191.106 142.250.190.10 142.250.190.138 142.250.190.106 142.250.190.74 142.250.191.170 172.217.4.202 172.217.2.42 142.250.191.138,142.250.191.202 172.217.4.74 142.250.190.10 142.250.190.106 142.250.191.106 142.250.191.138 142.250.190.42 142.250.190.74 172.217.4.42 142.250.191.170 142.250.190.138 142.250.191.234 172.217.2.42 172.217.1.106 142.251.34.234 142.251.32.10,271,300
azureedge.net.,,,-1,-1
firebaselogging.googleapis.com.,216.239.38.223 216.239.34.223 216.239.36.223 216.239.32.223,216.239.34.223 216.239.36.223 216.239.32.223 216.239.38.223,207,300
outlook.com.,52.96.223.2 52.96.172.98 52.96.222.226 52.96.91.34 52.96.214.50 52.96.111.82 52.96.228.130 52.96.222.194 52.96.229.242,52.96.222.194 52.96.222.226 52.96.228.130 52.96.229.242 52.96.91.34 52.96.214.50 52.96.172.98 52.96.223.2 52.96.111.82,155,8
paypal.com.,151.101.195.1 162.159.141.96 151.101.3.1,162.159.141.96 151.101.195.1 151.101.3.1,155,233
moba.net.,95.170.74.97,95.170.74.97,14256,14400
dell.com.,143.166.30.172 143.166.136.12,143.166.30.172 143.166.136.12,455,236
lencr.org.,18.208.88.157 98.84.224.111,98.84.224.111 18.208.88.157,58,22
cdninstagram.com.,,,-1,-1
exp-tas.com.,,,-1,-1
demdex.net.,,,-1,-1
facebook.net.,,,-1,-1
samsung.com.,211.45.27.231,211.45.27.231,156,113
linkedin.com.,150.171.22.12,150.171.22.12,109,300
mzstatic.com.,17.253.142.4,17.253.142.4,1537,2279
qualys.eu.,162.159.152.21 162.159.153.243,162.159.152.21 162.159.153.243,157,300
g.live.com.,13.107.246.38 13.107.213.38,13.107.246.38 13.107.213.38,5,36
googletagservices.com.,,,-1,-1
oauthaccountmanager.googleapis.com.,142.250.190.138 142.251.34.234 142.250.191.170 172.217.4.202 172.217.4.74 172.217.1.106 142.250.191.234 142.250.191.138 142.250.191.106 172.217.4.42 142.250.190.106 142.251.32.10 142.250.190.74 172.217.5.10 172.217.2.42 142.250.191.202,142.250.190.138 142.250.191.170 142.250.190.42 142.250.190.74 142.250.191.234 142.250.191.202 172.217.4.42 142.250.190.106 172.217.2.42 142.251.32.10 142.250.191.106 142.251.34.234 172.217.5.10 142.250.190.10 172.217.4.74 142.250.191.138,119,300
applovin.com.,34.54.184.105,34.54.184.105,120,120
searchnotifications-pa.googleapis.com.,142.250.190.106 142.250.190.10 142.251.34.234 142.250.191.202 172.217.1.106 142.250.191.106 142.250.191.138 142.250.191.170 142.250.190.138 142.250.191.234 142.250.190.42 142.251.32.10 172.217.2.42 172.217.5.10 172.217.4.202 142.250.190.74,142.250.190.74 142.251.34.234 142.250.190.106 142.250.191.234 142.250.190.138 172.217.1.106 142.251.32.10 142.250.190.42 142.250.191.202 142.250.190.10 142.250.191.170 142.250.191.138 142.250.191.106 172.217.2.42,157,300
adtrafficquality.google.,142.250.191.164,172.217.4.36,158,300
amazon-adsystem.com.,54.145.59.57 52.205.243.115 52.200.46.40,52.200.46.40 52.205.243.115 54.145.59.57,758,736
pangle.io.,,,-1,-1
criteo.com.,23.185.0.4,23.185.0.4,60,60
appcenter.ms.,13.107.246.38 13.107.213.38,13.107.246.51 13.107.213.51,3457,2691
adnxs.com.,68.67.179.113 68.67.160.117 68.67.160.114 68.67.179.153 68.67.160.75 68.67.160.184 68.67.160.137 68.67.160.132 68.67.179.164 68.67.161.208 68.67.181.211 68.67.160.76,104.254.151.68 104.254.148.252 104.254.148.251 104.254.151.36 104.254.151.60 104.254.151.69 104.254.150.241,120,120
safebrowsing.apple.,,,-1,-1
fnop.net.,64.68.202.11,64.68.202.11,759,900
svc.ms.,,,-1,-1
ipv4only.arpa.,192.0.0.171 192.0.0.170,192.0.0.171 192.0.0.170,70579,16622
vungle.com.,141.193.213.11 141.193.213.10,141.193.213.10 141.193.213.11,159,300
samsungcloud.com.,,,-1,-1
apple.map.fastly.net.,151.101.151.6,151.101.195.6 151.101.131.6 151.101.67.6 151.101.3.6,60,60
peoplestack-pa.googleapis.com.,172.217.2.42 142.250.191.202 142.251.34.234 142.250.190.106 142.250.190.138 142.250.191.234 142.251.32.10 172.217.4.42 142.250.191.170 172.217.4.74 142.250.190.74 172.217.4.202 142.250.191.138 172.217.1.106 142.250.190.10 142.250.191.106,172.217.1.106 142.250.191.234 142.250.190.138 142.250.191.138 172.217.5.10 142.250.190.106 142.250.191.202 142.250.190.42 142.250.191.106 142.251.32.10 142.250.191.170 142.250.190.10 142.250.190.74 142.251.34.234 172.217.4.42 172.217.4.74,278,300
taboola.com.,151.101.66.132 151.101.194.132 151.101.130.132 151.101.2.132,151.101.2.132 151.101.194.132 151.101.66.132 151.101.130.132,459,157
msedge.net.,204.79.197.197,204.79.197.197,60,37
alssys.vn.,144.48.22.40,144.48.22.40,220,360
spotify.com.,35.186.224.24,35.186.224.24,159,241
meetings.googleapis.com.,142.250.190.74 142.251.34.234 142.250.190.138 172.217.4.202 172.217.4.42 142.251.32.10 172.217.4.74 142.250.191.138 142.250.190.106 142.250.190.42 172.217.1.106 142.250.191.202 142.250.191.170 142.250.191.106 142.250.190.10 172.217.2.42,142.250.191.202 142.250.190.138 172.217.4.74 172.217.2.42 142.251.34.234 142.250.190.106 142.250.190.10 142.250.191.106 142.250.190.74 172.217.1.106 142.251.32.10 142.250.191.138 142.250.191.170 142.250.191.234 172.217.5.10 142.250.190.42,130,300
inmobi.com.,35.212.28.75,35.212.28.75,30,30
msftconnecttest.com.,,,-1,-1
maersk.net.,165.160.15.20 165.160.13.20 203.156.12.154,203.156.12.154 165.160.13.20 165.160.15.20,160,300
ampproject.org.,172.217.2.46,172.217.4.46,160,300
3gppnetwork.org.,,,-1,-1
cloudflare.net.,104.17.156.85 104.16.208.90,104.16.208.90 104.17.156.85,160,300
illusionblack.com.,,,-1,-1
i18n-pglstatp.com.,,,-1,-1
akamaihd.net.,,,-1,-1
branch.io.,18.160.181.2 18.160.181.9 18.160.181.53 18.160.181.8,18.160.181.2 18.160.181.53 18.160.181.8 18.160.181.9,60,60
adobe.com.,23.217.104.116 23.217.104.119,23.48.99.68 23.48.99.78,20,20
crashlyticsreports-pa.googleapis.com.,142.250.191.131,142.250.190.99,39,300
xgapromomanager-pa.googleapis.com.,142.250.190.10 142.250.191.170 142.251.32.10 172.217.1.106 142.250.191.234 142.250.191.138 142.250.190.138 142.250.190.74 172.217.5.10 172.217.2.42 142.250.191.106 142.250.190.42 142.250.190.106 172.217.4.42 172.217.4.74 142.250.191.202,172.217.4.74 142.250.190.106 142.250.191.170 142.250.191.234 142.250.191.138 142.250.191.202 142.250.190.10 142.250.190.42 142.250.191.106 172.217.4.42 172.217.2.42 142.251.34.234 142.251.32.10 172.217.1.106 142.250.190.74 142.250.190.138,96,300
pubmatic.com.,18.160.225.96 18.160.225.16 18.160.225.91 18.160.225.53,3.169.202.33 3.169.202.17 3.169.202.21 3.169.202.47,60,37
nelreports.net.,,,-1,-1
rubiconproject.com.,69.194.143.123,69.194.143.123,11,132
adsrvr.org.,3.170.103.117 3.170.103.29 3.170.103.25 3.170.103.83,99.84.118.89 99.84.118.106 99.84.118.36 99.84.118.46,37,54
unity3d.com.,23.2.131.38,23.2.131.38,20,20
shopeemobile.com.,147.136.141.130,147.136.141.130,761,900
azurefd.net.,,,-1,-1
proactivebackend-pa.googleapis.com.,142.250.191.202 142.251.32.10 142.250.190.138 142.251.34.234 142.250.191.234 142.250.191.106 142.250.190.106 172.217.4.42 172.217.1.106 172.217.2.42 172.217.5.10 142.250.190.74 142.250.191.170 142.250.190.42 142.250.191.138 142.250.190.10,142.250.190.106 172.217.4.202 142.250.191.138 142.251.32.10 142.250.191.202 142.250.190.10 142.250.190.42 172.217.1.106 142.251.34.234 142.250.191.170 142.250.190.74 142.250.190.138 142.250.191.234 172.217.2.42 142.250.191.106 172.217.5.10,31,300
netflix.com.,3.230.129.93 52.3.144.142 54.237.226.164,54.237.226.164 52.3.144.142 3.230.129.93,60,60
playatoms-pa.googleapis.com.,142.250.191.202 142.250.190.138 172.217.5.10 142.251.34.234 172.217.2.42 142.250.190.10 142.250.191.138 142.250.190.74 172.217.4.202 172.217.1.106 142.251.32.10 172.217.4.74 142.250.191.106 142.250.190.42 142.250.191.234 142.250.191.170,142.250.191.234 142.250.190.74 172.217.1.106 142.250.190.10 172.217.4.42 142.250.191.138 142.250.190.138 142.250.191.106 142.251.34.234 142.250.190.106 142.251.32.10 142.250.191.170 142.250.191.202 172.217.4.74 142.250.190.42 172.217.4.202,162,300
zscaler.com.,52.10.132.43 44.231.34.82,52.10.132.43 44.231.34.82,162,33
damco.com.,204.74.99.103,204.74.99.103,162,300
taobao.com.,59.82.121.163 59.82.43.238 59.82.43.234 59.82.122.130 59.82.122.140 59.82.43.239 59.82.44.240 59.82.122.165,59.82.122.140 59.82.43.238 59.82.43.234 59.82.44.240 59.82.122.165 59.82.43.239 59.82.121.163 59.82.122.130,163,300
firebaseremoteconfigrealtime.googleapis.com.,172.217.2.42 142.250.191.170 142.250.190.74 172.217.4.74 142.250.191.138 142.251.34.234 142.250.191.106 142.250.190.138 172.217.4.202 142.250.190.42 172.217.1.106 142.250.190.106 172.217.5.10 142.250.190.10 142.250.191.234 142.251.32.10,142.250.190.10 142.250.191.106 142.250.190.74 142.250.190.106 142.250.191.234 142.251.32.10 142.251.34.234 172.217.1.106 142.250.191.138 142.250.190.42 142.250.191.170 172.217.4.202 142.250.190.138 142.250.191.202,11,162
zdxcloud.net.,,,-1,-1
mobilemaps-pa-gz.googleapis.com.,216.239.38.135,216.239.38.135,2179,3462
jsdelivr.net.,1.2.3.4,1.2.3.4,600,466
mobileconfiguration-pa.googleapis.com.,142.250.190.42 172.217.5.10 142.250.190.106 142.250.191.170 172.217.2.42 142.251.32.10 142.250.190.10 142.250.191.202 142.250.191.138 142.250.191.234 142.250.190.138 142.250.191.106 172.217.1.106 172.217.4.42 142.250.190.74 142.251.34.234,142.250.190.138 172.217.1.106 142.251.32.10 142.250.191.234 142.250.190.106 142.250.190.10 142.250.191.106 142.250.191.170 142.250.190.74 142.250.190.42 142.250.191.202 172.217.4.74 172.217.2.42 142.250.191.138,162,300
zscaler.net.,,,-1,-1
omtrdc.net.,,,-1,-1
clarity.ms.,52.173.199.90 13.89.188.82,52.173.199.90 13.89.188.82,3463,384
2mdn.net.,,,-1,-1
giphy.com.,151.101.129.91 151.101.1.91 151.101.193.91 151.101.65.91,151.101.1.91 151.101.129.91 151.101.193.91 151.101.65.91,3463,3313
danaccess.net.,217.167.147.132,217.167.147.132,463,600
dmw.gov.ph.,202.69.191.77,202.69.191.77,14265,14265
heytapmobile.com.,,,-1,-1
susercontent.com.,,,-1,-1
oauth2.googleapis.com.,142.250.112.95,192.178.153.95,268,300
licdn.com.,,,-1,-1
live.net.,,,-1,-1
weather.com.,23.11.10.192,23.11.10.192,20,20
macys.net.,,,-1,-1
xiaomi.com.,124.251.34.141,124.251.34.141,466,600
casalemedia.com.,104.18.27.193 104.18.26.193,104.18.27.193 104.18.26.193,166,147
twitter.com.,162.159.140.229,172.66.0.227,237,186
voilatile-pa.googleapis.com.,172.217.4.202 142.250.190.74 142.250.191.202 142.250.191.138 172.217.1.106 142.250.190.138 142.251.32.10 142.251.34.234 172.217.4.42 172.217.2.42 142.250.190.42 142.250.191.106 142.250.191.234 142.250.190.106 142.250.190.10 142.250.191.170,142.250.191.234 142.250.190.10 142.250.190.138 172.217.4.42 142.250.191.202 142.250.191.106 172.217.4.74 142.250.190.106 142.250.190.42 142.251.32.10 142.251.34.234 172.217.1.106 172.217.2.42 142.250.190.74 142.250.191.138 142.250.191.170,300,300
msftauth.net.,,,-1,-1
amazon.com.,98.82.161.185 98.87.170.74 98.87.170.71,98.87.170.71 98.82.161.185 98.87.170.74,442,183
storage.googleapis.com.,172.217.5.27 142.250.190.155 172.217.4.91 142.250.190.59 142.250.191.187 172.217.2.59 142.250.190.123 142.250.190.27 172.217.4.219 142.251.34.251 172.217.1.123 142.250.190.91 142.250.191.251 142.251.32.27 172.217.4.59 142.250.191.219,172.217.4.59 142.251.34.251 142.250.190.59 142.250.190.155 142.250.191.187 172.217.1.123 142.250.190.27 142.250.190.91 172.217.2.59 142.250.191.251 142.250.191.219 172.217.4.91 142.250.191.155 142.250.191.123 142.251.32.27 142.250.190.123,79,300
jnn-pa.googleapis.com.,142.250.190.138 172.217.1.106 142.251.34.234 172.217.2.42 142.250.190.74 172.217.4.202 172.217.4.74 142.250.191.106 142.250.190.106 142.251.32.10 172.217.5.10 142.250.191.170 142.250.191.202 142.250.190.10 142.250.191.138 142.250.190.42,142.250.190.10 172.217.1.106 142.250.191.106 142.250.190.106 142.251.32.10 142.250.190.42 142.250.191.234 142.250.191.202 142.250.190.74 172.217.2.42 172.217.4.74 142.251.34.234 142.250.190.138 142.250.191.170 172.217.5.10 142.250.191.138,15,300
kghcustoms.com.,194.218.10.186,194.218.10.186,166,300
googlezip.net.,,,-1,-1
adobe.io.,54.144.73.197 107.22.247.231 18.207.85.246 34.193.227.236,52.5.13.197 54.227.187.23 23.22.254.206 52.202.204.11,60,9
tiktok.com.,184.30.42.25 184.30.42.12 184.30.42.9,23.217.55.181 23.217.55.197 23.217.55.170 23.217.55.198,20,20
network-auth.com.,,,-1,-1
adsafeprotected.com.,3.162.163.47 3.162.163.127 3.162.163.88 3.162.163.24,18.154.101.97 18.154.101.120 18.154.101.105 18.154.101.23,8,55
tpp.com.pe.,52.205.198.106,52.205.198.106,3466,283
ibyteimg.com.,,,-1,-1
openx.net.,34.98.64.218 35.244.159.8,34.98.64.218 35.244.159.8,766,766
msftncsi.com.,,,-1,-1
photosdata-pa.googleapis.com.,142.250.191.202 172.217.4.42 172.217.2.42 142.250.191.138 142.250.190.42 142.250.191.170 142.251.32.10 142.250.190.74 142.251.34.234 142.250.190.10 172.217.4.202 142.250.191.106 142.250.190.106 172.217.4.74 172.217.1.106 142.250.190.138,172.217.1.106 142.250.190.10 172.217.5.10 142.250.191.106 142.250.190.106 172.217.4.42 142.250.191.138 172.217.4.74 142.250.190.42 142.250.191.202 142.251.32.10 142.250.191.234 142.250.190.138 142.251.34.234 142.250.190.74 142.250.191.170,138,300
